caseid,tercile,mw_index
1816286795,1,0.06138888888888889
1816292437,1,0.05
1815719489,3,0.5704166666666667
1816227591,3,0.9722222222222222
1815270915,2,0.19305555555555554
1816303953,3,0.8263888888888888
1815320871,3,0.5391666666666667
1816304885,2,0.32142857142857145
1815370701,2,0.3402777777777778
1816309065,1,0.06625
1816303167,2,0.2526388888888889
1816309915,1,0.07777777777777778
1816292901,2,0.3234722222222222
1815507185,3,0.6791666666666667
1816321841,2,0.2569444444444444
1815436399,3,0.512361111111111
1816309163,3,0.8473611111111111
1816321665,1,0.08125
1816326851,2,0.2548611111111111
1816326535,3,0.7501388888888889
1816338147,1,0.06388888888888888
1816338727,1,0.06625
1816338685,1,0.12916666666666665
1816172861,2,0.375
1815390327,1,0.065
1816342865,3,0.8875
1815484769,2,0.25069444444444444
1816342981,3,0.4330555555555555
1816343009,1,0.0775
1816355037,2,0.20625
1816342683,2,0.25
1816343341,1,0.09166666666666667
1816355059,2,0.2259722222222222
1816355045,3,0.4875
1816355327,2,0.18805555555555556
1816350431,3,0.48125
1816356001,3,0.45625
1816355889,2,0.33472222222222225
1816343587,2,0.1875
1816354979,1,0.03125
1816318225,2,0.175
1816173441,3,0.6475
1816361139,1,0.05625
1815429687,3,0.90125
1816346835,1,0.05
1816350309,1,0.05625
1814189041,1,0.06388888888888888
1816350511,3,0.4284722222222222
1816189075,3,0.875
1816378685,2,0.16805555555555557
1816373589,3,0.9166666666666666
1816378585,1,0.07666666666666666
1815744857,3,0.4984722222222222
1816391857,2,0.19375
1816378953,3,0.6651388888888888
1816392149,3,0.8597222222222223
1816385995,1,0.0801388888888889
1816396033,3,0.5715277777777777
1815633423,3,0.8923611111111112
1816396261,3,0.60625
1816378131,2,0.1423611111111111
1816409193,2,0.17041666666666666
1816409053,3,0.7090277777777778
1816416171,2,0.1975
1816396593,1,0.06277777777777778
1816411397,1,0.08625
1816416297,1,0.06277777777777778
1816409377,2,0.2629166666666667
1815660819,3,0.7531944444444445
1816411521,1,0.05
1816409499,3,0.6481944444444444
1815201933,1,0.06527777777777777
1816416413,2,0.14305555555555555
1816408919,3,0.5402777777777777
1816411603,3,0.67875
1816245711,3,0.5705555555555556
1815843317,3,0.5788888888888889
1816408767,2,0.22083333333333333
1816433595,2,0.35625
1816433423,3,0.5868055555555556
1816433463,1,0.065
1816403995,2,0.17194444444444446
1815583379,1,0.065
1816452133,3,0.5368055555555555
1816451539,1,0.04
1816440733,1,0.04
1816451491,2,0.32125
1816451913,2,0.3034722222222222
1816458329,2,0.35
1815249343,1,0.05
1816404043,1,0.05
1816458277,1,0.10555555555555556
1816458351,2,0.14722222222222223
1816470009,1,0.03138888888888889
1816335155,1,0.09902777777777777
1816472221,1,0.12916666666666665
1816471227,1,0.0375
1816395741,2,0.18125
1816477023,2,0.16305555555555556
1816458287,2,0.2513888888888889
1816472385,1,0.125
1816477825,2,0.2901388888888889
1816477149,2,0.13916666666666666
1816477597,1,0.025
1816477517,3,0.67875
1816484941,3,0.6891666666666667
1816477675,3,0.5476388888888889
1816490963,2,0.1840277777777778
1816490851,3,0.96375
1816211409,3,0.8881944444444445
1816490227,1,0.1290277777777778
1816498515,3,0.425
1815459123,2,0.2629166666666667
1816501109,2,0.2625
1816498949,2,0.32013888888888886
1816499205,1,0.03888888888888889
1816511043,3,0.8736111111111111
1816484923,2,0.2906944444444444
1816498443,2,0.3011111111111111
1816511783,2,0.14722222222222223
1816511053,1,0.05277777777777778
1816511709,1,0.11944444444444445
1816518847,2,0.3
1816175901,1,0.05
1816519013,1,0.09791666666666667
1816519563,2,0.33125
1816519879,2,0.175
1816519925,3,0.4623611111111111
1815694893,3,0.6765277777777777
1816511103,2,0.24555555555555555
1816520817,2,0.3184722222222222
1815480907,3,0.3934722222222222
