layer1,layer2,layer3,p.adj,est,se
media,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,overall,,,
media,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,trust_majornews_w2,,0.0211814480532018,0.0262649230823072
media,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,trust_youtube_w2,,-0.0552141343777215,0.0309409350756643
media,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,fabricate_majornews_w2,,0.0074599603565445,0.0217763061796855
media,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,fabricate_youtube_w2,,-0.0373422385415777,0.0247517411234108
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,overall,,,
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,trust_majornews_w2,,-0.0151198130832227,0.026237404152098
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,trust_youtube_w2,,-0.0188524552373294,0.0270305260654183
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,fabricate_majornews_w2,,0.00903203512072337,0.0217520151611442
media,attitude.neutral:seed.anti:recsys.31.vs.attitude.neutral:seed.anti:recsys.22,fabricate_youtube_w2,,0.00258810172969359,0.0226162330393499
media,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.anti:recsys.31,overall,,,
media,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.anti:recsys.31,trust_majornews_w2,,0.0296719470362058,0.0257908009524269
media,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.anti:recsys.31,trust_youtube_w2,,0.0131260352932575,0.0299794719555266
media,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.anti:recsys.31,fabricate_majornews_w2,,0.0245015373184851,0.02123197102622
media,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.anti:recsys.31,fabricate_youtube_w2,,-0.0190543917288664,0.0249128527166939
media,attitude.neutral:seed.pro:recsys.22.vs.attitude.neutral:seed.anti:recsys.22,overall,,,
media,attitude.neutral:seed.pro:recsys.22.vs.attitude.neutral:seed.anti:recsys.22,trust_majornews_w2,,-0.00662931410021872,0.0266265856436768
media,attitude.neutral:seed.pro:recsys.22.vs.attitude.neutral:seed.anti:recsys.22,trust_youtube_w2,,0.0494877144336496,0.0282360744137071
media,attitude.neutral:seed.pro:recsys.22.vs.attitude.neutral:seed.anti:recsys.22,fabricate_majornews_w2,,0.026073612082664,0.0224220275296851
media,attitude.neutral:seed.pro:recsys.22.vs.attitude.neutral:seed.anti:recsys.22,fabricate_youtube_w2,,0.0208759485424049,0.0225581321989487
affpol,overall,overall,0.385584672941913,,
affpol,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,overall,,,
affpol,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,affpol_ft_w2,,3.80998274142628,1.43124681609791
affpol,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,affpol_smart_w2,,0.00225766757046064,0.016112616362669
affpol,attitude.pro:recsys.31.vs.attitude.pro:recsys.22,affpol_comfort_w2,,-0.00783367726215173,0.0184677965993151
affpol,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,overall,,,
affpol,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,affpol_ft_w2,,1.05975303215005,1.08786445923506
affpol,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,affpol_smart_w2,,0.0239088530823733,0.0139650919315176
affpol,attitude.anti:recsys.31.vs.attitude.anti:recsys.22,affpol_comfort_w2,,0.00561766097536354,0.0172391790976743
affpol,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,overall,,,
affpol,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,affpol_ft_w2,,1.63706180363054,2.31334291606625
affpol,attitude.neutral:seed.pro:recsys.31.vs.attitude.neutral:seed.pro:recsys.22,affpol_smart_w2,,-0.0321319056504822,0.0287253409325825
